,qos value,time slice id,user id,service id,user ip add,user country,user as,service wsdl add,service provider,service ip add,service country,service as
0,4.18,0.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
1,3.112,1.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
2,6.843,2.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
3,0.778,3.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
4,0.873,4.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
5,3.896,5.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
6,0.826,6.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
7,0.868,7.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
8,0.804,8.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
9,3.609,9.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
10,0.902,10.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
11,0.794,11.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
12,3.485,12.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
13,0.872,13.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
14,0.817,14.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
15,0.777,15.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
16,0.864,16.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
17,0.847,17.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
18,0.861,18.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
19,0.82,19.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
20,0.854,20.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
21,1.318,21.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
22,10.274,22.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
23,3.921,23.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
24,6.791,24.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
25,0.881,25.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
26,0.78,26.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
27,0.83,27.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
28,0.87,28.0,0.0,0.0,0,29,115,1487,1716,1813,70,571
