,time slice id,user id,service id,user ip add,user ip no,service wsdl add,user as,qos value
0,0.0,0.0,0.0,0,1,1487,115,4.18
1,1.0,0.0,0.0,0,1,1487,115,3.112
2,2.0,0.0,0.0,0,1,1487,115,6.843
3,3.0,0.0,0.0,0,1,1487,115,0.778
4,4.0,0.0,0.0,0,1,1487,115,0.873
5,5.0,0.0,0.0,0,1,1487,115,3.896
6,6.0,0.0,0.0,0,1,1487,115,0.826
7,7.0,0.0,0.0,0,1,1487,115,0.868
8,8.0,0.0,0.0,0,1,1487,115,0.804
9,9.0,0.0,0.0,0,1,1487,115,3.609
10,10.0,0.0,0.0,0,1,1487,115,0.902
11,11.0,0.0,0.0,0,1,1487,115,0.794
12,12.0,0.0,0.0,0,1,1487,115,3.485
13,13.0,0.0,0.0,0,1,1487,115,0.872
14,14.0,0.0,0.0,0,1,1487,115,0.817
15,15.0,0.0,0.0,0,1,1487,115,0.777
16,16.0,0.0,0.0,0,1,1487,115,0.864
17,17.0,0.0,0.0,0,1,1487,115,0.847
18,18.0,0.0,0.0,0,1,1487,115,0.861
19,19.0,0.0,0.0,0,1,1487,115,0.82
20,20.0,0.0,0.0,0,1,1487,115,0.854
21,21.0,0.0,0.0,0,1,1487,115,1.318
22,22.0,0.0,0.0,0,1,1487,115,10.274
23,23.0,0.0,0.0,0,1,1487,115,3.921
24,24.0,0.0,0.0,0,1,1487,115,6.791
25,25.0,0.0,0.0,0,1,1487,115,0.881
26,26.0,0.0,0.0,0,1,1487,115,0.78
27,27.0,0.0,0.0,0,1,1487,115,0.83
28,28.0,0.0,0.0,0,1,1487,115,0.87
29,29.0,0.0,0.0,0,1,1487,115,0.935
30,30.0,0.0,0.0,0,1,1487,115,0.875
31,31.0,0.0,0.0,0,1,1487,115,3.787
32,32.0,0.0,0.0,0,1,1487,115,0.829
33,33.0,0.0,0.0,0,1,1487,115,0.914
34,34.0,0.0,0.0,0,1,1487,115,0.83
35,35.0,0.0,0.0,0,1,1487,115,0.763
36,36.0,0.0,0.0,0,1,1487,115,0.846
37,37.0,0.0,0.0,0,1,1487,115,3.677
38,38.0,0.0,0.0,0,1,1487,115,9.752
39,39.0,0.0,0.0,0,1,1487,115,0.976
40,40.0,0.0,0.0,0,1,1487,115,0.773
41,41.0,0.0,0.0,0,1,1487,115,0.832
42,42.0,0.0,0.0,0,1,1487,115,0.738
43,43.0,0.0,0.0,0,1,1487,115,3.846
44,44.0,0.0,0.0,0,1,1487,115,0.849
45,45.0,0.0,0.0,0,1,1487,115,0.743
46,46.0,0.0,0.0,0,1,1487,115,0.814
47,47.0,0.0,0.0,0,1,1487,115,0.771
48,48.0,0.0,0.0,0,1,1487,115,3.817
49,49.0,0.0,0.0,0,1,1487,115,0.82
